Question,Answer
What is the to 9 (initial outlook?,"The to 9 (initial outlook is 8 to 12), the Employee Engagement Index remained unchanged at 80% (initial."
What is the outlook?,"The outlook is 76% to 80%), and our net carbon emissions continued to decrease, dropping 85 kt to 0 kt."
What is the (initial outlook?,The (initial outlook is 0 kt)..
What is the currencies; 2022?,The currencies; 2022 is €11.73 billion at constant currencies). This was an increase of 25% (27% on a.
What is the constant currency basis; 2022?,The constant currency basis; 2022 is 24%). The growth rate of our current cloud backlog is in line with our.
What is the Cloud and software revenue grew 9% at constant currencies to €27.64 billion (2022?,"The Cloud and software revenue grew 9% at constant currencies to €27.64 billion (2022 is €24.01 billion),."
What is the predictable revenue 2pp to 81% (2022?,"The predictable revenue 2pp to 81% (2022 is 79%), which is 1pp below our revised outlook.."
What is the Total revenue on a constant currency basis grew 9% in 2023 to €32.03 billion (2022?,The Total revenue on a constant currency basis grew 9% in 2023 to €32.03 billion (2022 is €27.90 billion)..
What is the Non-IFRS operating profit in 2023 was €9.04 billion on a constant currency basis (2022?,"The Non-IFRS operating profit in 2023 was €9.04 billion on a constant currency basis (2022 is €7.67 billion),."
What is the Cloud and software revenue represented 86% of total revenue in 2023 (2022?,The Cloud and software revenue represented 86% of total revenue in 2023 (2022 is 86%). Service revenue.
"What is the support, resulting in software support revenue of €11,496 million in 2023 (2022?","The support, resulting in software support revenue of €11,496 million in 2023 (2022 is €11,909 million). The."
What is the predictable revenue accounted for 81% of our total revenue in 2023 (2022?,"The predictable revenue accounted for 81% of our total revenue in 2023 (2022 is 79%), continuing the."
What is the of the total services revenue (2022?,The of the total services revenue (2022 is 90%) and 12% of total revenue (2022: 13%)..
"What is the Revenue from other services decreased €10 million, or 2%, to €409 million in 2023 (2022?","The Revenue from other services decreased €10 million, or 2%, to €409 million in 2023 (2022 is €419 million).."
"What is the In 2023, the EMEA region generated €14,004 million in revenue (2022?","The In 2023, the EMEA region generated €14,004 million in revenue (2022 is €12,909 million), which was 45%."
What is the of total revenue (2022?,"The of total revenue (2022 is 44%). Revenue in Germany increased 10% to €4,921 million."
"What is the EMEA region rose 27% to €5,241 million in 2023 (2022?","The EMEA region rose 27% to €5,241 million in 2023 (2022 is €4,137 million). Software licenses and software."
"What is the support revenue decreased 2% to €6,787 million in 2023 (2022?","The support revenue decreased 2% to €6,787 million in 2023 (2022 is €6,943 million).."
"What is the In 2023, 41% of our total revenue was generated in the Americas region (2022?","The In 2023, 41% of our total revenue was generated in the Americas region (2022 is 41%). Total revenue in."
"What is the the Americas region increased 4% to €12,762 million (2022?","The the Americas region increased 4% to €12,762 million (2022 is €12,227 million). Revenue in the United."
"What is the States increased to €10,204 million (2022?","The States increased to €10,204 million (2022 is €9,799 million). The United States contributed 80%."
